arte,artista,año,kentridge,museo,obra,premio,bienal,proyecto,años,director,pabellón,venecia,artistas,asturias,edición,obras,princesa,artes,mundo,internet,zombies,amazon,google,of,usuarios,call,duty,black,ops,prime,android,televisión,asistente,compañía,facebook,vez,tiempo,mayo,tus,teatro,danza,madrid,espectáculo,público,mejor,niño,otros,música,ionesco,merce,función,ballet,cunningham,así,ellos,escenario,dice,vida,nunca,productos,euros,españa,audiencia,marcas,millones,2016,sector,nuevo,ciento,distribución,2015,serna,telefónica,canales,fomento,accionistas,2010,pasado,nueva,moda,equipo,marca,negro,gran,reina,trabajo,dior,álex,día,campaña,hija,vogue,balenciaga,costura,gonzález,rodaje,parte,familia,missoni,partido,mutua,open,bien,djokovic,18,barco,final,almagro,velero,suárez,tenis,porque,nadal,set,segundo,pista,español,fognini,scariolo,thoreau,libro,sino,naturaleza,nada,poesía,puede,siempre,escribir,forma,aunque,emerson,historia,creo,hacer,manera,the,mitchell,cosas,libros,tierra,universidad,científicos,investigadores,humanos,cerebro,homo,pueden,estudio,superficie,matemáticas,especie,herramientas,rocas,naledi,gamma,donde,hecho,luz,sistema,especies,río,aves,amazonía,seo,climático,protección,red,loras,geoparque,janeiro,cigüeñas,organización,conservación,población,cambio,carbono,slcp,león,mar,san,rey,maría,siglo,don,hoy,mesa,diego,corriente,señor,alemania,hércules,orgaz,guerra,alemanes,varona,leyenda,días,hombre,isla,Categoria
0,0.6021,0,0,0,0.7074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arte
1.0196999999999998,0.6021,1.701,0,0,0,0,8.241299999999999,1.923,-0.1067,0.4834,7.76,7.0,4.487,0,1.4296,0,0,0,0.2254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,0,0,0,0,0,0,0,1.2552,0.3903,0,0,0,0,0,0,0,0,0.1549,0,0,0,0,0.6837,0.8037,0,0,0,0,0.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5779,0,0,0,0,0,0,0.5127,0,0,0.736,0,0.3468,0,0,0,0,0,0,1.0666,0,0,1.6478,0,0,0,0,0,0,0,0,0.8909,0,0,0,0,0,0,0,0.2596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8909,0,0,0,0,0,0,0.3468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arte
0.6798,3.6125999999999996,0.243,4.7064,2.0511,0.7074,4.487,0,0,-0.1067,0,0,0,0,4.85,0,0.7482,3.3804,3.2956,0.2254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4386,0,0,0,0.6276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1484,0,0,0,0.2888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1375,0.6021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948,0,0,0,0,0,0,0,0,0.3399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arte
1.0196999999999998,0.6021,0,0,1.3674,0,0,1.8314,0,0,0.9668,0,2.0,0,0,1.4296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3979,0,0,0,0,0,0.6276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arte
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1127,0,0,0,0,0,4.9434,0,0,0,0,0,4.5785,0,0,2.2652,0.8674,0.227,0.1594,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.505,0.9157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2828,0,0,0,0,0,0,0,0.2828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5127,0,0.3332,0,0,0,0,0,0,0,0.5127,0,0,0,0,0,0,0,0,0,0,0,0,0.5333,0,0,0,0,0,0,0,0,0.5192,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arte
0,0,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4717,0,0,0,0,0,5.494199999999999,0,0,0.5663,0,0,0.47819999999999996,0.3979,1.8314,0,0,0,0,0,0.7806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3979,0,0.4834,0,0,0,0,0,0,0,0,0.8037,0,0,0,0,0,0,0,0,0,2.6727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5333,0,0,0,0,0,0,0,0,0.2596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arte
0,0,0.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8239,0,0,0,0,0,0,0,0,0,0,0.227,0,0.3979,0.9157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474,0,0,Arte
0,0,0,0,0,0,0,0,0.641,-0.1067,0,0,0,0,0,0,0,0,0,0.1127,0,0,0,0,0.5779,1.6478,0,0,0,0,0,0,3.0636,0,1.6989,8.674,0,0.1594,0,0,0,0,0,0,0,0,0,0.5538,0,0,0,0,0,0,0,0,0,0,0.0742,0,0,0,0.2888,0.8674,0,0.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7958,0,0.4834,0,0,0.275,0,0,0,0,0.5656,0,0,0,0,0,0,0,0.2828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9798,0,0,0,0.5127,0.5663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7654,0,0,0,0,0,0,0,0,0,1.5318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arte
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9157,0,0,0.5663,0,0,0,0,0,0,0,0,0,0,0.3903,0,0,0,0,0,0,0,0,0.3098,0,0,0,0,0,0,0.699,0,0,0,0,0,0,0.3903,0,0,0,0,0,0,0,0,0,0,0.3979,0,0,0,0,0.1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474,0,0,0,0,0,0,0,0,0.3399,0,0,0,0,0,0,0,0,0,0,0,0.5127,0,0,0,0,0,0.3266,0,0,0,0,0,0.5333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arte
0,0,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1127,0,0,0,5.6259,0,0,0,0,0,0,0,0.9157,0,4.5785,1.1326,0,0.227,0.3188,0.3979,0.9157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3098,1.2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5663,0,0,0.4834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1558,0,0,0,0,0,0,0.5127,0,0.6664,0,1.4624,0.3468,0,0,0,0,0.5127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arte
